"Notes"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"1999"	"1999"	"45-49 years"	"45-49"	418	1374078	30.4
	"1999"	"1999"	"50-54 years"	"50-54"	598	1146781	52.1
	"1999"	"1999"	"55-59 years"	"55-59"	728	863292	84.3
	"1999"	"1999"	"60-64 years "	"60-64"	758	693373	109.3
	"1999"	"1999"	"65-69 years"	"65-69"	1146	604694	189.5
	"1999"	"1999"	"70-74 years"	"70-74"	1266	529022	239.3
	"1999"	"1999"	"75-79 years"	"75-79"	1276	416805	306.1
	"1999"	"1999"	"80-84 years"	"80-84"	895	266005	336.5
	"2000"	"2000"	"45-49 years"	"45-49"	449	1427642	31.5
	"2000"	"2000"	"50-54 years"	"50-54"	661	1210389	54.6
	"2000"	"2000"	"55-59 years"	"55-59"	738	904193	81.6
	"2000"	"2000"	"60-64 years "	"60-64"	893	706128	126.5
	"2000"	"2000"	"65-69 years"	"65-69"	1196	611283	195.7
	"2000"	"2000"	"70-74 years"	"70-74"	1212	533653	227.1
	"2000"	"2000"	"75-79 years"	"75-79"	1248	426356	292.7
	"2000"	"2000"	"80-84 years"	"80-84"	919	270589	339.6
	"2001"	"2001"	"45-49 years"	"45-49"	482	1474710	32.7
	"2001"	"2001"	"50-54 years"	"50-54"	731	1279357	57.1
	"2001"	"2001"	"55-59 years"	"55-59"	769	937485	82.0
	"2001"	"2001"	"60-64 years "	"60-64"	935	728277	128.4
	"2001"	"2001"	"65-69 years"	"65-69"	1159	619156	187.2
	"2001"	"2001"	"70-74 years"	"70-74"	1276	536873	237.7
	"2001"	"2001"	"75-79 years"	"75-79"	1216	431577	281.8
	"2001"	"2001"	"80-84 years"	"80-84"	992	280646	353.5
	"2002"	"2002"	"45-49 years"	"45-49"	470	1529514	30.7
	"2002"	"2002"	"50-54 years"	"50-54"	734	1294259	56.7
	"2002"	"2002"	"55-59 years"	"55-59"	892	1020576	87.4
	"2002"	"2002"	"60-64 years "	"60-64"	926	759080	122.0
	"2002"	"2002"	"65-69 years"	"65-69"	1158	627669	184.5
	"2002"	"2002"	"70-74 years"	"70-74"	1254	539747	232.3
	"2002"	"2002"	"75-79 years"	"75-79"	1272	435031	292.4
	"2002"	"2002"	"80-84 years"	"80-84"	1000	292483	341.9
	"2003"	"2003"	"45-49 years"	"45-49"	443	1572899	28.2
	"2003"	"2003"	"50-54 years"	"50-54"	763	1334425	57.2
	"2003"	"2003"	"55-59 years"	"55-59"	887	1077512	82.3
	"2003"	"2003"	"60-64 years "	"60-64"	939	799788	117.4
	"2003"	"2003"	"65-69 years"	"65-69"	1091	642963	169.7
	"2003"	"2003"	"70-74 years"	"70-74"	1275	543315	234.7
	"2003"	"2003"	"75-79 years"	"75-79"	1287	439310	293.0
	"2003"	"2003"	"80-84 years"	"80-84"	983	301753	325.8
	"2004"	"2004"	"45-49 years"	"45-49"	504	1609730	31.3
	"2004"	"2004"	"50-54 years"	"50-54"	776	1380116	56.2
	"2004"	"2004"	"55-59 years"	"55-59"	959	1135400	84.5
	"2004"	"2004"	"60-64 years "	"60-64"	1026	841643	121.9
	"2004"	"2004"	"65-69 years"	"65-69"	1124	660214	170.2
	"2004"	"2004"	"70-74 years"	"70-74"	1194	547091	218.2
	"2004"	"2004"	"75-79 years"	"75-79"	1256	442498	283.8
	"2004"	"2004"	"80-84 years"	"80-84"	1051	313306	335.5
	"2005"	"2005"	"45-49 years"	"45-49"	529	1647693	32.1
	"2005"	"2005"	"50-54 years"	"50-54"	819	1429664	57.3
	"2005"	"2005"	"55-59 years"	"55-59"	960	1200830	79.9
	"2005"	"2005"	"60-64 years "	"60-64"	1044	882012	118.4
	"2005"	"2005"	"65-69 years"	"65-69"	1132	674966	167.7
	"2005"	"2005"	"70-74 years"	"70-74"	1201	555112	216.4
	"2005"	"2005"	"75-79 years"	"75-79"	1168	450445	259.3
	"2005"	"2005"	"80-84 years"	"80-84"	1003	320811	312.6
	"2006"	"2006"	"45-49 years"	"45-49"	523	1693586	30.9
	"2006"	"2006"	"50-54 years"	"50-54"	867	1486845	58.3
	"2006"	"2006"	"55-59 years"	"55-59"	970	1276178	76.0
	"2006"	"2006"	"60-64 years "	"60-64"	1010	920509	109.7
	"2006"	"2006"	"65-69 years"	"65-69"	1183	704964	167.8
	"2006"	"2006"	"70-74 years"	"70-74"	1191	568948	209.3
	"2006"	"2006"	"75-79 years"	"75-79"	1110	459482	241.6
	"2006"	"2006"	"80-84 years"	"80-84"	964	329789	292.3
	"2007"	"2007"	"45-49 years"	"45-49"	517	1716965	30.1
	"2007"	"2007"	"50-54 years"	"50-54"	825	1547906	53.3
	"2007"	"2007"	"55-59 years"	"55-59"	1033	1295273	79.8
	"2007"	"2007"	"60-64 years "	"60-64"	1122	1004857	111.7
	"2007"	"2007"	"65-69 years"	"65-69"	1255	736496	170.4
	"2007"	"2007"	"70-74 years"	"70-74"	1176	577962	203.5
	"2007"	"2007"	"75-79 years"	"75-79"	1111	462602	240.2
	"2007"	"2007"	"80-84 years"	"80-84"	938	334631	280.3
	"2008"	"2008"	"45-49 years"	"45-49"	526	1739074	30.2
