"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Alabama"	"01"	"< 1 year"	"1"	"1999"	"1999"	"Female"	"F"	246	28712	856.8	54.6
	"Alabama"	"01"	"< 1 year"	"1"	"1999"	"1999"	"Male"	"M"	360	30075	1197.0	63.1
	"Alabama"	"01"	"< 1 year"	"1"	"2000"	"2000"	"Female"	"F"	251	28872	869.4	54.9
	"Alabama"	"01"	"< 1 year"	"1"	"2000"	"2000"	"Male"	"M"	345	30229	1141.3	61.4
	"Alabama"	"01"	"< 1 year"	"1"	"2001"	"2001"	"Female"	"F"	238	30131	789.9	51.2
	"Alabama"	"01"	"< 1 year"	"1"	"2001"	"2001"	"Male"	"M"	329	31406	1047.6	57.8
	"Alabama"	"01"	"< 1 year"	"1"	"2002"	"2002"	"Female"	"F"	243	29134	834.1	53.5
	"Alabama"	"01"	"< 1 year"	"1"	"2002"	"2002"	"Male"	"M"	296	29829	992.3	57.7
	"Alabama"	"01"	"< 1 year"	"1"	"2003"	"2003"	"Female"	"F"	223	28339	786.9	52.7
	"Alabama"	"01"	"< 1 year"	"1"	"2003"	"2003"	"Male"	"M"	296	29682	997.2	58.0
	"Alabama"	"01"	"< 1 year"	"1"	"2004"	"2004"	"Female"	"F"	194	29033	668.2	48.0
	"Alabama"	"01"	"< 1 year"	"1"	"2004"	"2004"	"Male"	"M"	322	29894	1077.1	60.0
	"Alabama"	"01"	"< 1 year"	"1"	"2005"	"2005"	"Female"	"F"	264	29212	903.7	55.6
	"Alabama"	"01"	"< 1 year"	"1"	"2005"	"2005"	"Male"	"M"	304	30212	1006.2	57.7
	"Alabama"	"01"	"< 1 year"	"1"	"2006"	"2006"	"Female"	"F"	236	29848	790.7	51.5
	"Alabama"	"01"	"< 1 year"	"1"	"2006"	"2006"	"Male"	"M"	335	30975	1081.5	59.1
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Female"	"F"	288	30948	930.6	54.8
	"Alabama"	"01"	"< 1 year"	"1"	"2007"	"2007"	"Male"	"M"	353	31959	1104.5	58.8
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Female"	"F"	263	31542	833.8	51.4
	"Alabama"	"01"	"< 1 year"	"1"	"2008"	"2008"	"Male"	"M"	349	32274	1081.4	57.9
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Female"	"F"	240	30462	787.9	50.9
	"Alabama"	"01"	"< 1 year"	"1"	"2009"	"2009"	"Male"	"M"	277	31331	884.1	53.1
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Female"	"F"	237	29591	800.9	52.0
	"Alabama"	"01"	"< 1 year"	"1"	"2010"	"2010"	"Male"	"M"	286	30465	938.8	55.5
	"Alabama"	"01"	"< 1 year"	"1"	"2011"	"2011"	"Female"	"F"	195	29058	671.1	48.1
	"Alabama"	"01"	"< 1 year"	"1"	"2011"	"2011"	"Male"	"M"	292	30369	961.5	56.3
	"Alabama"	"01"	"< 1 year"	"1"	"2012"	"2012"	"Female"	"F"	248	29592	838.1	53.2
	"Alabama"	"01"	"< 1 year"	"1"	"2012"	"2012"	"Male"	"M"	275	30931	889.1	53.6
	"Alabama"	"01"	"< 1 year"	"1"	"2013"	"2013"	"Female"	"F"	224	28555	784.5	52.4
	"Alabama"	"01"	"< 1 year"	"1"	"2013"	"2013"	"Male"	"M"	277	29884	926.9	55.7
	"Alabama"	"01"	"< 1 year"	"1"	"2014"	"2014"	"Female"	"F"	227	28346	800.8	53.2
	"Alabama"	"01"	"< 1 year"	"1"	"2014"	"2014"	"Male"	"M"	289	29508	979.4	57.6
	"Alabama"	"01"	"< 1 year"	"1"	"2015"	"2015"	"Female"	"F"	216	28422	760.0	51.7
	"Alabama"	"01"	"< 1 year"	"1"	"2015"	"2015"	"Male"	"M"	279	29595	942.7	56.4
	"Alabama"	"01"	"< 1 year"	"1"	"2016"	"2016"	"Female"	"F"	242	28485	849.6	54.6
	"Alabama"	"01"	"< 1 year"	"1"	"2016"	"2016"	"Male"	"M"	295	29784	990.5	57.7
	"Alabama"	"01"	"< 1 year"	"1"	"2017"	"2017"	"Female"	"F"	198	28297	699.7	49.7
	"Alabama"	"01"	"< 1 year"	"1"	"2017"	"2017"	"Male"	"M"	236	29605	797.2	51.9
	"Alabama"	"01"	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	167	27728	602.3	46.6
	"Alabama"	"01"	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	238	29011	820.4	53.2
	"Alabama"	"01"	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	203	27821	729.7	51.2
	"Alabama"	"01"	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	246	29080	845.9	53.9
	"Alabama"	"01"	"< 1 year"	"1"	"2020 "	"2020"	"Female"	"F"	162	27547	588.1	46.2
	"Alabama"	"01"	"< 1 year"	"1"	"2020 "	"2020"	"Male"	"M"	242	28699	843.2	54.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"1999"	"1999"	"Female"	"F"	54	115715	46.7	6.4
	"Alabama"	"01"	"1-4 years"	"1-4"	"1999"	"1999"	"Male"	"M"	67	120438	55.6	6.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"2000"	"2000"	"Female"	"F"	34	116061	29.3	5.0
	"Alabama"	"01"	"1-4 years"	"1-4"	"2000"	"2000"	"Male"	"M"	63	120830	52.1	6.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2001"	"2001"	"Female"	"F"	37	115083	32.2	5.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"2001"	"2001"	"Male"	"M"	61	120004	50.8	6.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2002"	"2002"	"Female"	"F"	44	116056	37.9	5.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2002"	"2002"	"Male"	"M"	58	121027	47.9	6.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"2003"	"2003"	"Female"	"F"	47	116271	40.4	5.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"2003"	"2003"	"Male"	"M"	49	120912	40.5	5.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"2004"	"2004"	"Female"	"F"	41	116238	35.3	5.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2004"	"2004"	"Male"	"M"	65	120805	53.8	6.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"2005"	"2005"	"Female"	"F"	37	116269	31.8	5.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"2005"	"2005"	"Male"	"M"	50	120748	41.4	5.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"2006"	"2006"	"Female"	"F"	42	115932	36.2	5.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2006"	"2006"	"Male"	"M"	61	120467	50.6	6.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2007"	"2007"	"Female"	"F"	32	116224	27.5	4.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"2007"	"2007"	"Male"	"M"	44	121169	36.3	5.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2008"	"2008"	"Female"	"F"	33	118239	27.9	4.9
