"Year" "State" "Age" "Sex" "Deaths" "Population"
"221" 1999 "Alabama" "35-44" "F" 728 351301
"223" 2000 "Alabama" "35-44" "F" 650 350582
"225" 2001 "Alabama" "35-44" "F" 713 346986
"227" 2002 "Alabama" "35-44" "F" 701 340884
"229" 2003 "Alabama" "35-44" "F" 674 335121
"231" 2004 "Alabama" "35-44" "F" 736 330674
"233" 2005 "Alabama" "35-44" "F" 679 328389
"235" 2006 "Alabama" "35-44" "F" 743 328049
"237" 2007 "Alabama" "35-44" "F" 712 325948
"239" 2008 "Alabama" "35-44" "F" 675 322821
"241" 2009 "Alabama" "35-44" "F" 720 319030
"243" 2010 "Alabama" "35-44" "F" 680 315716
"245" 2011 "Alabama" "35-44" "F" 647 310930
"247" 2012 "Alabama" "35-44" "F" 697 310431
"249" 2013 "Alabama" "35-44" "F" 659 310796
"251" 2014 "Alabama" "35-44" "F" 687 310625
"253" 2015 "Alabama" "35-44" "F" 665 309233
"255" 2016 "Alabama" "35-44" "F" 714 305848
"257" 2017 "Alabama" "35-44" "F" 673 304686
"259" 2018 "Alabama" "35-44" "F" 700 305364
"261" 2019 "Alabama" "35-44" "F" 655 306726
"263" 2020 "Alabama" "35-44" "F" 818 308698
"749" 1999 "Alaska" "35-44" "F" 79 56817
"751" 2000 "Alaska" "35-44" "F" 75 55695
"753" 2001 "Alaska" "35-44" "F" 94 54205
"755" 2002 "Alaska" "35-44" "F" 114 52680
"757" 2003 "Alaska" "35-44" "F" 83 51238
"759" 2004 "Alaska" "35-44" "F" 93 50313
"761" 2005 "Alaska" "35-44" "F" 90 48993
"763" 2006 "Alaska" "35-44" "F" 89 48226
"765" 2007 "Alaska" "35-44" "F" 86 46925
"767" 2008 "Alaska" "35-44" "F" 89 45515
"769" 2009 "Alaska" "35-44" "F" 75 45176
"771" 2010 "Alaska" "35-44" "F" 68 44597
"773" 2011 "Alaska" "35-44" "F" 79 44359
"775" 2012 "Alaska" "35-44" "F" 71 44324
"777" 2013 "Alaska" "35-44" "F" 76 43458
"779" 2014 "Alaska" "35-44" "F" 71 43122
"781" 2015 "Alaska" "35-44" "F" 64 43017
"783" 2016 "Alaska" "35-44" "F" 76 43850
"785" 2017 "Alaska" "35-44" "F" 74 44555
"787" 2018 "Alaska" "35-44" "F" 83 45225
"789" 2019 "Alaska" "35-44" "F" 86 45800
"791" 2020 "Alaska" "35-44" "F" 109 46881
"1277" 1999 "Arizona" "35-44" "F" 558 376826
"1279" 2000 "Arizona" "35-44" "F" 552 380147
"1281" 2001 "Arizona" "35-44" "F" 590 384454
"1283" 2002 "Arizona" "35-44" "F" 623 386601
"1285" 2003 "Arizona" "35-44" "F" 600 387295
"1287" 2004 "Arizona" "35-44" "F" 578 391058
"1289" 2005 "Arizona" "35-44" "F" 600 399004
"1291" 2006 "Arizona" "35-44" "F" 592 407003
"1293" 2007 "Arizona" "35-44" "F" 585 410351
"1295" 2008 "Arizona" "35-44" "F" 498 410415
"1297" 2009 "Arizona" "35-44" "F" 576 407826
"1299" 2010 "Arizona" "35-44" "F" 505 406371
"1301" 2011 "Arizona" "35-44" "F" 559 406407
"1303" 2012 "Arizona" "35-44" "F" 558 408920
"1305" 2013 "Arizona" "35-44" "F" 611 411100
"1307" 2014 "Arizona" "35-44" "F" 585 415840
"1309" 2015 "Arizona" "35-44" "F" 590 418302
"1311" 2016 "Arizona" "35-44" "F" 601 419394
"1313" 2017 "Arizona" "35-44" "F" 646 424856
"1315" 2018 "Arizona" "35-44" "F" 608 434958
"1317" 2019 "Arizona" "35-44" "F" 630 442046
"1319" 2020 "Arizona" "35-44" "F" 867 450370
"1805" 1999 "Arkansas" "35-44" "F" 341 199609
"1807" 2000 "Arkansas" "35-44" "F" 363 201007
"1809" 2001 "Arkansas" "35-44" "F" 376 199238
"1811" 2002 "Arkansas" "35-44" "F" 403 195973
"1813" 2003 "Arkansas" "35-44" "F" 351 193858
"1815" 2004 "Arkansas" "35-44" "F" 374 192372
"1817" 2005 "Arkansas" "35-44" "F" 389 191434
"1819" 2006 "Arkansas" "35-44" "F" 418 191576
"1821" 2007 "Arkansas" "35-44" "F" 360 190400
"1823" 2008 "Arkansas" "35-44" "F" 415 187938
"1825" 2009 "Arkansas" "35-44" "F" 386 185102
"1827" 2010 "Arkansas" "35-44" "F" 357 183510
"1829" 2011 "Arkansas" "35-44" "F" 335 182662
"1831" 2012 "Arkansas" "35-44" "F" 384 182788
"1833" 2013 "Arkansas" "35-44" "F" 371 183694
"1835" 2014 "Arkansas" "35-44" "F" 404 183472
"1837" 2015 "Arkansas" "35-44" "F" 398 184106
"1839" 2016 "Arkansas" "35-44" "F" 412 183788
"1841" 2017 "Arkansas" "35-44" "F" 383 184157
"1843" 2018 "Arkansas" "35-44" "F" 366 185172
"1845" 2019 "Arkansas" "35-44" "F" 379 186049
"1847" 2020 "Arkansas" "35-44" "F" 502 187622
"2333" 1999 "California" "35-44" "F" 3192 2701239
"2335" 2000 "California" "35-44" "F" 3295 2712847
"2337" 2001 "California" "35-44" "F" 3314 2724965
"2339" 2002 "California" "35-44" "F" 3237 2717566
"2341" 2003 "California" "35-44" "F" 3313 2713392
"2343" 2004 "California" "35-44" "F" 3070 2708560
"2345" 2005 "California" "35-44" "F" 3087 2697899
"2347" 2006 "California" "35-44" "F" 2983 2679857
"2349" 2007 "California" "35-44" "F" 2837 2648251
"2351" 2008 "California" "35-44" "F" 2589 2620598
"2353" 2009 "California" "35-44" "F" 2740 2591015
"2355" 2010 "California" "35-44" "F" 2485 2578017
"2357" 2011 "California" "35-44" "F" 2471 2569063
"2359" 2012 "California" "35-44" "F" 2392 2568548
"2361" 2013 "California" "35-44" "F" 2403 2563651
"2363" 2014 "California" "35-44" "F" 2485 2581056
"2365" 2015 "California" "35-44" "F" 2451 2584489
"2367" 2016 "California" "35-44" "F" 2426 2567676
"2369" 2017 "California" "35-44" "F" 2503 2593130
"2371" 2018 "California" "35-44" "F" 2576 2602784
"2373" 2019 "California" "35-44" "F" 2644 2609521
"2375" 2020 "California" "35-44" "F" 3222 2615551
"2861" 1999 "Colorado" "35-44" "F" 434 365690
"2863" 2000 "Colorado" "35-44" "F" 436 364477
"2865" 2001 "Colorado" "35-44" "F" 480 364288
"2867" 2002 "Colorado" "35-44" "F" 464 359613
